match_id,group,date_utc,venue,home_team,away_team,elo_home,elo_away,elo_diff,form_home_pts,form_away_pts,form_diff,weighted_form_home,weighted_form_away,gf_home_last_n,ga_home_last_n,gf_away_last_n,ga_away_last_n,attack_home,defense_home,attack_away,defense_away,neutral,tournament_weight,points_last_5_home,points_last_5_away,goal_diff_last_5_home,goal_diff_last_5_away,goals_for_last_5_home,goals_for_last_5_away,goals_against_last_5_home,goals_against_last_5_away,win_streak_home,win_streak_away,loss_streak_home,loss_streak_away,clean_sheet_rate_home,clean_sheet_rate_away,failed_to_score_rate_home,failed_to_score_rate_away,h2h_goal_diff,common_opponent_diff,experience_score_home,experience_score_away,avg_age_home,avg_age_away,market_value_proxy_home,market_value_proxy_away,top5_league_count_home,top5_league_count_away,goal_trend_home,goal_trend_away,form_consistency_home,form_consistency_away,attack_ratio_home,attack_ratio_away,elo_form_interaction,goals_per90_home,goals_per90_away,assists_per90_home,assists_per90_away,coach_win_rate_home,coach_win_rate_away,coach_wc_apps_home,coach_wc_apps_away,altitude_m,travel_km_diff,temp_celsius,upset_risk,upset_label
21,K,2026-06-17 17:00:00+00:00,"NRG Stadium, Houston",Portugal,DR Congo,1984.0,1655.0,329.0,10.0,10.0,1.705741122139104,11.408860601852018,9.703119479712914,13.0,4.0,6.0,1.0,1.7037,0.7037,1.037,0.4074,1,4.0,10.0,10.0,9.0,5.0,13.0,6.0,4.0,1.0,2,0,0,0,0.4,0.8,0.4,0.4,0.0,2.0722,36,41,24.98,25.506410256410252,121.33,107.58538461538458,60.0,53.12820512820513,0.0,0.1,1.2649,1.2649,3.3577,1.2903,1.403,0.1328,0.13285128205128205,0.1219,0.09216666666666666,0.67,0.48,0.0,0.0,15.0,-2703,32.0,0.5509,Orta
22,L,2026-06-17 20:00:00+00:00,"AT&T Stadium, Dallas",England,Croatia,2020.0,1930.0,90.0,10.0,9.0,0.9401892709384416,9.497940696976885,8.557751426038443,6.0,2.0,8.0,9.0,1.6667,0.3704,1.5185,0.7778,1,4.0,10.0,9.0,4.0,-1.0,6.0,8.0,2.0,9.0,1,1,0,0,0.6,0.0,0.2,0.2,1.0,0.5274,37,34,24.41,26.07,399.44,59.83,199.0,29.0,-1.0,-0.3,1.2649,1.4697,1.8987,3.2281,0.2115,0.1439,0.1825,0.0958,0.0841,0.61,0.53,0.0,2.0,167.0,1333,32.0,0.5306,Orta
23,L,2026-06-17 23:00:00+00:00,"BMO Field, Toronto",Ghana,Panama,1503.0,1737.0,-234.0,1.0,8.0,-6.388594801229841,1.5501100494802555,7.938704850710097,3.0,11.0,10.0,11.0,1.0,0.8519,1.3704,0.8519,1,4.0,1.0,8.0,-8.0,-1.0,3.0,10.0,11.0,11.0,0,0,0,0,0.0,0.0,0.4,0.0,0.0,1.3203,34,50,24.93,29.0,57.02,3.82,28.0,1.0,-0.5,0.2,0.4,1.2,1.0505,1.4396,3.7373,0.1019,0.1818,0.0697,0.0909,0.41,0.45,0.0,0.0,75.0,-4862,22.0,0.3709,Düşük
24,K,2026-06-18 02:00:00+00:00,"Estadio Azteca, Mexico City",Uzbekistan,Colombia,1727.0,1975.0,-248.0,5.0,9.0,-6.275668454836047,3.7071033110220517,9.982771765858098,6.0,7.0,10.0,6.0,0.9259,0.5926,1.4074,0.8148,1,4.0,5.0,9.0,-1.0,4.0,6.0,10.0,7.0,6.0,0,2,2,0,0.2,0.4,0.4,0.0,0.0,-1.6357,37,38,21.0,27.37,2.0,39.43,1.0,19.0,-0.2,-0.5,1.0954,1.4697,1.0121,2.0321,3.8909,0.0,0.1429,0.0,0.1071,0.48,0.6,0.0,0.0,2240.0,-10005,15.0,0.4534,Orta
25,A,2026-06-18 16:00:00+00:00,"Mercedes-Benz Stadium, Atlanta",Czechia,South Africa,1726.0,1524.0,202.0,11.0,5.0,5.065403967973699,11.655181177238735,6.589777209265035,17.0,6.0,4.0,5.0,1.4815,0.8519,1.0741,0.5556,1,4.0,11.0,5.0,11.0,-1.0,17.0,4.0,6.0,5.0,2,1,0,0,0.2,0.4,0.0,0.2,0.0,0.8926,34,46,25.506410256410252,24.0,107.58538461538458,3.97,53.12820512820513,1.0,1.2,-0.7,0.9798,1.0954,2.2598,1.1284,2.558,0.13285128205128205,0.1974,0.09216666666666666,0.1316,0.46,0.49,0.0,0.0,200.0,6705,22.0,0.4125,Düşük
26,B,2026-06-18 19:00:00+00:00,"SoFi Stadium, Los Angeles",Switzerland,Bosnia and Herzegovina,1889.0,1594.0,295.0,6.0,5.0,1.6822337003219632,6.682233700321963,5.0,9.0,7.0,4.0,4.0,1.4815,0.963,1.0741,1.1111,1,4.0,6.0,5.0,2.0,0.0,9.0,4.0,7.0,4.0,0,0,0,0,0.2,0.2,0.2,0.2,-2.0,0.7634,36,30,25.66,25.506410256410252,94.77,107.58538461538458,47.0,53.12820512820513,-0.4,-1.2,0.9798,0.0,1.2233,1.0104,1.2406,0.0766,0.13285128205128205,0.0753,0.09216666666666666,0.53,0.44,1.0,0.0,37.0,800,22.0,0.4056,Düşük
27,B,2026-06-18 22:00:00+00:00,"BC Place, Vancouver",Canada,Qatar,1784.0,1425.0,359.0,9.0,2.0,6.272630888355774,8.554961078278222,2.2823301899224475,7.0,3.0,1.0,6.0,1.1481,0.4074,0.8148,1.2963,1,4.0,9.0,2.0,4.0,-5.0,7.0,1.0,3.0,6.0,0,0,0,0,0.6,0.2,0.2,0.8,2.0,0.1198,39,45,24.67,25.506410256410252,20.45,107.58538461538458,9.0,53.12820512820513,0.3,-0.5,0.9798,0.4899,0.8222,1.6058,5.6297,0.2455,0.13285128205128205,0.1067,0.09216666666666666,0.42,0.41,0.0,0.0,5.0,8169,17.0,0.2755,Düşük
28,A,2026-06-19 01:00:00+00:00,"Estadio Akron, Guadalajara",Mexico,South Korea,1860.0,1752.0,108.0,11.0,9.0,2.412280715743451,12.39505248160155,9.982771765858098,9.0,2.0,7.0,5.0,1.0741,0.5185,1.2963,0.7037,1,4.0,11.0,9.0,7.0,2.0,9.0,7.0,2.0,5.0,3,2,0,0,0.6,0.6,0.2,0.4,1.0,0.3098,50,38,26.2,26.25,11.31,17.45,5.0,8.0,0.2,-0.1,0.9798,1.4697,1.3364,2.0959,0.6513,0.1308,0.1446,0.0595,0.0935,0.46,0.45,3.0,0.0,1566.0,11188,18.0,0.539,Orta
29,D,2026-06-19 04:00:00+00:00,"Levi's Stadium, Santa Clara",Turkey,Paraguay,1902.0,1833.0,69.0,13.0,9.0,4.191934379903266,13.859492762485935,9.66755838258267,10.0,3.0,9.0,5.0,1.5556,0.8148,0.9259,0.6667,1,4.0,13.0,9.0,7.0,4.0,10.0,9.0,3.0,5.0,4,1,0,0,0.6,0.4,0.0,0.0,0.0,0.1995,35,31,25.506410256410252,25.0,107.58538461538458,9.16,53.12820512820513,4.0,-0.5,0.6,0.8,1.4697,2.029,1.0121,0.7231,0.13285128205128205,0.1161,0.09216666666666666,0.1045,0.48,0.46,0.0,1.0,7.0,-1361,22.0,0.5695,Orta
30,D,2026-06-19 19:00:00+00:00,"Lumen Field, Seattle",United States,Australia,1721.0,1783.0,-62.0,6.0,7.0,-1.2348966662048264,5.332441617417332,6.567338283622158,11.0,12.0,7.0,6.0,1.2222,1.1852,1.0741,0.6296,1,4.0,6.0,7.0,-1.0,1.0,11.0,7.0,12.0,6.0,0,0,1,0,0.0,0.2,0.2,0.4,1.5,0.3466,47,35,25.506410256410252,27.75,107.58538461538458,8.11,53.12820512820513,4.0,0.4,0.1,1.4697,1.3565,1.6752,0.8357,0.1914,0.13285128205128205,0.0111,0.09216666666666666,0.0333,0.51,0.48,0.0,0.0,4.0,10598,17.0,0.6343,Orta
